"年份","序号","地区","地方一般公共预算支出","一般公共服务支出","外交支出","国防支出","公共安全支出","教育支出","科学技术支出","文化体育与传媒支出","社会保障和就业支出","医疗卫生与计划生育支出","节能环保支出","城乡社区支出","农林水支出","交通运输支出","资源勘探信息等支出","商业服务业等支出","金融支出","援助其他地区支出","国土海洋气象等支出","住房保障支出","粮油物资储备支出","债务付息支出","债务发行费用支出","其他支出"
2015,1,"地方合计","150335.62","12492.49","3.54","219.33","7795.79","24913.71","3384.18","2804.65","18295.62","11868.67","4402.48","15875.53","16641.71","11503.27","5663.56","1724.76","496.22","261.41","1766.76","5395.84","777.01","681.68","26.03","3341.38"
2015,2,"北京","5737.70","300.12",NA,"7.81","319.75","855.67","287.80","188.50","700.48","370.52","303.26","995.39","424.78","295.63","167.05","58.85","12.80","23.07","30.51","104.69","20.74","11.83",NA,"258.45"
2015,3,"天津","3232.35","178.30",NA,"1.02","157.87","507.44","120.82","51.73","314.77","195.02","73.10","922.16","156.08","98.88","204.30","50.38","3.67","11.48","21.80","46.82","7.81","6.75","0.30","101.84"
2015,4,"河北","5632.19","503.32",NA,"10.31","287.08","1041.16","45.50","88.34","763.68","535.09","282.72","476.59","712.49","323.82","111.93","36.53","3.19","5.65","73.29","161.15","37.43","46.52","0.93","85.49"
2015,5,"山西","3422.97","245.51",NA,"5.34","173.79","602.85","37.47","73.08","533.45","290.71","99.46","255.47","394.46","208.84","54.42","15.31","5.61","2.68","222.95","126.61","20.69","16.61","0.47","37.19"
2015,6,"内蒙古","4252.96","299.14","0.03","5.40","188.37","536.53","35.72","95.81","605.26","257.15","175.25","560.20","675.58","292.78","76.63","45.79","13.16","0.25","81.94","190.36","20.07","24.53","1.02","72.01"
2015,7,"辽宁","4481.61","356.51",NA,"7.90","256.72","610.24","68.92","88.59","995.10","281.96","116.79","494.34","446.07","269.98","114.42","45.76","12.37","10.40","54.72","136.93","21.32","59.25","1.44","31.88"
2015,8,"吉林","3217.10","247.13",NA,"5.39","168.87","477.57","41.39","73.01","462.28","245.81","117.70","341.86","408.61","191.83","127.26","28.68","5.54","2.67","38.70","135.91","49.29","23.71","0.58","23.31"
2015,9,"黑龙江","4020.66","242.67",NA,"5.34","180.94","549.66","42.91","53.17","728.73","273.96","155.52","350.52","681.48","272.07","106.45","23.89","0.80","3.75","34.92","212.34","65.86","17.14","0.54","17.99"
2015,10,"上海","6191.56","259.84",NA,"6.73","269.20","767.32","271.85","108.22","543.16","303.46","104.35","1173.88","267.37","274.73","539.02","86.85","17.87","33.36","47.89","123.39","17.55","4.31",NA,"971.23"
2015,11,"江苏","9687.58","845.68",NA,"18.10","519.92","1746.22","371.96","196.06","838.06","649.31","308.45","1535.59","1008.60","547.81","448.45","136.15","18.05","29.70","64.56","247.18","25.97","22.21","2.38","107.17"
2015,12,"浙江","6645.98","584.45",NA,"9.20","423.55","1264.93","250.79","165.38","541.70","485.50","167.89","541.21","739.08","553.65","346.80","143.57","30.51","21.57","91.66","140.73","24.67","20.43","1.83","96.86"
2015,13,"安徽","5239.01","400.09",NA,"5.66","196.06","856.73","147.94","88.19","691.54","485.60","124.83","609.65","577.74","383.97","181.20","63.43","6.93","4.13","61.53","276.63","32.21","26.27","0.97","17.72"
2015,14,"福建","4001.58","308.02","1.06","6.85","225.24","757.51","76.60","84.82","341.77","351.19","95.57","378.70","441.86","346.20","159.66","79.48","4.86","2.03","33.43","81.65","28.08","18.25","0.64","178.10"
2015,15,"江西","4412.55","410.83",NA,"7.13","195.44","793.27","74.79","68.90","510.18","398.79","87.43","331.44","557.30","247.18","275.79","55.70","10.22","1.00","36.84","241.38","17.23","20.45","0.83","70.43"
2015,16,"山东","8250.01","738.11",NA,"14.96","425.75","1690.62","159.05","137.26","904.64","701.43","217.08","920.57","964.42","460.69","276.06","116.88","48.74","17.59","110.88","204.14","31.38","43.39","1.67","64.71"
2015,17,"河南","6799.35","695.32",NA,"6.08","301.12","1271.00","83.25","105.38","945.83","717.74","177.77","645.21","791.63","371.01","149.98","57.71","40.92","2.84","55.72","242.04","36.21","29.92","1.07","71.58"
2015,18,"湖北","6132.84","618.14",NA,"4.25","295.24","913.05","157.36","84.03","858.70","515.25","145.84","545.16","616.57","452.05","451.36","52.17","10.51","6.28","61.24","204.78","44.12","24.31","1.21","71.24"
2015,19,"湖南","5728.72","634.17",NA,"11.70","271.54","928.54","66.26","111.74","781.79","493.74","149.00","551.26","676.24","318.93","190.78","63.47","8.83","4.62","74.44","277.26","34.06","36.10","1.46","42.81"
2015,20,"广东","12827.80","1018.91",NA,"16.48","834.54","2040.65","569.55","194.58","1064.91","918.36","322.33","1174.16","811.90","1982.63","525.38","147.85","141.17","70.42","117.20","357.29","67.60","22.45","1.35","428.10"
2015,21,"广西","4065.51","395.30","0.46","9.87","220.55","789.69","49.63","79.00","460.63","413.87","98.68","317.52","497.53","237.83","128.61","45.56","33.79",NA,"45.75","173.96","23.28","16.44","0.83","26.73"
2015,22,"海南","1239.43","113.32","1.10","6.59","77.14","206.84","12.38","25.48","174.77","100.54","31.54","83.03","164.24","99.46","34.61","9.56","0.53",NA,"13.12","48.26","3.17","7.56","0.21","25.97"
2015,23,"重庆","3792.00","270.17","0.26","7.40","203.29","536.24","45.67","47.01","569.63","313.98","140.73","627.82","331.33","294.06","193.50","41.92","13.51","1.82","37.12","85.90","13.39","12.33","0.67","4.27"
2015,24,"四川","7497.51","622.22",NA,"11.90","369.74","1252.33","96.69","139.41","1111.75","686.42","169.31","514.08","926.65","601.14","251.52","82.52","17.40","5.33","77.87","288.90","35.95","17.51","1.07","217.80"
2015,25,"贵州","3939.50","428.61",NA,"5.09","215.95","772.91","58.68","61.20","340.33","360.80","96.49","127.71","534.26","392.25","94.46","24.97","0.79",NA,"40.73","298.44","14.83","23.98","1.46","45.57"
2015,26,"云南","4712.83","388.51","0.08","7.06","242.54","767.46","48.56","61.66","648.69","422.66","134.08","183.62","641.52","604.01","110.19","33.59","2.32","0.04","79.67","210.92","17.62","19.26","0.86","87.92"
2015,27,"西藏","1381.46","205.92","0.38","2.26","103.23","167.27","5.41","34.73","103.00","62.80","56.83","93.34","200.27","178.61","32.92","12.40","2.84",NA,"15.46","54.53","3.41","1.40",NA,"44.49"
2015,28,"陕西","4376.06","359.36",NA,"3.25","187.07","758.07","57.28","103.09","631.99","369.38","150.77","406.01","520.58","350.89","107.30","44.56","12.86","0.64","41.54","249.10","19.78","17.80","0.70",NA
2015,29,"甘肃","2958.31","272.01",NA,"3.03","123.10","498.33","29.85","62.76","421.31","250.10","95.35","121.61","497.05","278.24","47.73","29.69","2.16",NA,"35.20","127.87","13.32","15.09","0.39","34.12"
2015,30,"青海","1515.16","117.33",NA,"1.00","59.02","163.19","11.22","33.60","189.34","99.43","87.36","128.45","204.41","205.49","55.47","19.06","6.00","0.09","16.52","65.25","7.55","25.93","0.35","19.10"
2015,31,"宁夏","1138.49","67.09",NA,"1.25","51.23","142.51","17.25","20.97","146.23","74.11","45.49","145.96","166.27","97.85","28.22","20.08","7.11",NA,"8.12","72.25","2.67","14.08","0.22","9.53"
2015,32,"新疆","3804.87","366.41","0.17","4.98","251.95","647.93","41.64","78.96","371.90","244.01","71.51","323.04","605.34","270.75","72.11","52.40","1.18",NA,"41.46","209.19","19.75","35.88","0.58","93.74"
